UnixTime,Exchange
1549930285,3170.0
1549930285,3170.0
1549930285,3170.0
1549930284,3170.0
1549930284,3170.0
1549930284,3171.0
1549930284,3173.9
1549930281,3172.5
1549930281,3172.78
1549930281,3174.14
1549930280,3175.0
1549930279,3175.0
1549930279,3175.0
1549930279,3175.0
1549930279,3175.01
1549930279,3175.3
1549930275,3175.01
1549930275,3177.0
1549930274,3177.82
1549930274,3178.0
1549930274,3178.0
1549930274,3178.35
1549930274,3178.35
1549930274,3178.5
1549930274,3178.99
1549930273,3179.89
1549930272,3179.89
1549930272,3180.0
1549930272,3180.0
1549930271,3180.0
1549930264,3184.0
1549930264,3184.0
1549930263,3186.68
1549930261,3184.0
1549930260,3184.0
1549930259,3184.41
1549930249,3186.74
1549930248,3186.74
1549930230,3187.41
1549930216,3185.0
1549930216,3185.0
1549930216,3185.0
1549930212,3187.45
1549930207,3185.0
1549930207,3185.01
1549930199,3188.23
1549930189,3188.27
1549930177,3188.28
1549930176,3188.28
1549930170,3188.28
1549930161,3187.09
1549930136,3189.08
1549930125,3185.0
1549930124,3185.01
1549930113,3189.19
1549930076,3187.09
1549930076,3187.11
1549930075,3187.11
1549930075,3187.0
1549930069,3187.02
1549930063,3185.0
1549930063,3186.16
1549930039,3185.0
1549930034,3185.0
1549930010,3185.0
1549930006,3185.0
1549929984,3185.0
1549929983,3185.0
1549929983,3185.0
1549929980,3185.0
1549929979,3185.0
1549929963,3185.0
1549929962,3185.0
1549929927,3185.0
1549929877,3185.0
1549929876,3185.54
1549929875,3185.55
1549929866,3185.55
1549929866,3186.1
1549929866,3186.26
1549929866,3186.26
1549929866,3186.26
1549929835,3191.7
1549929773,3186.81
1549929773,3192.56
1549929697,3186.81
1549929640,3192.98
1549929614,3193.01
1549929604,3192.75
1549929603,3192.98
1549929602,3192.98
1549929594,3192.98
1549929585,3192.98
1549929579,3192.98
1549929565,3192.98
1549929556,3192.98
1549929551,3192.98
1549929549,3192.98
1549929536,3193.01
1549929525,3193.05
1549929520,3192.85
1549929517,3193.07
1549929490,3193.09
1549929481,3193.07
1549929467,3193.15
1549929461,3193.55
1549929455,3193.55
1549929450,3193.6
1549929449,3192.28
1549929436,3192.28
1549929427,3192.28
1549929416,3192.28
1549929407,3192.28
1549929391,3192.28
1549929383,3192.28
1549929382,3192.28
1549929354,3192.28
1549929340,3192.27
1549929337,3192.27
1549929336,3192.27
1549929333,3192.27
1549929322,3192.27
1549929314,3192.12
1549929313,3192.12
1549929310,3192.12
1549929295,3192.25
1549929290,3192.15
1549929284,3192.28
1549929275,3192.27
1549929261,3192.27
1549929253,3192.27
1549929236,3192.31
1549929221,3192.31
1549929206,3192.31
1549929205,3192.31
1549929192,3186.39
1549929191,3192.39
1549929180,3192.39
1549929178,3192.15
1549929177,3192.41
1549929162,3192.12
1549929157,3192.39
1549929148,3192.41
1549929139,3192.41
1549929115,3192.18
1549929085,3192.29
1549929073,3192.31
1549929060,3192.37
1549929041,3192.41
1549929040,3192.41
1549929035,3186.28
1549929029,3186.28
1549929009,3192.43
1549929007,3190.42
1549928997,3191.34
1549928996,3191.34
1549928996,3191.34
1549928974,3191.32
1549928970,3191.32
1549928953,3189.97
1549928941,3191.42
1549928936,3191.42
1549928916,3191.04
1549928910,3191.42
1549928897,3191.42
1549928897,3190.0
1549928895,3189.97
1549928871,3189.97
1549928860,3189.96
